id,type,matchup,weight
128,20,3;1;1;1;3;1;2;1;1;3;3;2;1;1;1;2,40
129,21,3;2;1;3;1;2;2;1;2;1;1;2;1;2;2;1,30
130,21,3;1;2;3;1;2;2;1;2;1;1;2;1;2;2;1,30
131,21,1;2;2;1;2;1;1;2;1;2;2;1;3;2;1;3,30
132,21,1;2;2;1;2;1;1;2;1;2;2;1;3;1;2;3,30
133,21,3;1;2;1;3;2;1;2;2;1;2;1;1;2;1;2,30
134,21,1;2;1;3;2;1;2;3;1;2;1;2;2;1;2;1,30
135,21,1;2;1;2;2;1;2;1;3;2;1;2;3;1;2;1,30
136,21,2;1;2;1;1;2;1;2;2;1;2;3;1;2;1;3,30
137,25,2;1;3;1;1;2;1;3;3;1;3;1;1;3;1;1,25
138,25,1;3;1;2;3;1;2;1;1;3;1;3;1;1;3;1,25
139,25,1;3;1;1;3;1;3;1;1;2;1;3;2;1;3;1,25
140,25,1;1;3;1;1;3;1;3;3;1;2;1;1;3;1;2,25
141,25,1;1;1;3;2;1;3;1;2;1;1;3;1;3;3;1,25
142,25,3;1;1;1;1;3;1;2;3;1;1;2;1;3;3;1,25
143,25,1;3;3;1;2;1;1;3;2;1;3;1;1;1;1;3,25
144,25,1;3;3;1;3;1;1;2;1;3;1;2;3;1;1;1,25
145,30,1;1;1;3;2;1;3;1;3;2;1;3;1;3;3;1,5
146,30,3;1;1;1;1;3;1;2;3;1;2;3;1;3;3;1,5
147,30,1;3;3;1;3;2;1;3;2;1;3;1;1;1;1;3,5
148,30,1;3;3;1;3;1;2;3;1;3;1;2;3;1;1;1,5
